Activity,Certification,Persons,Percentage
Food services,Postgraduate,1629,0.002
Food services,Bachelor,31029,0.036
Food services,Diploma,64579,0.075
Food services,STPM,44180,0.051
Food services,Certificate,74186,0.086
Food services,SPM,491083,0.571
Food services,Below SPM,153593,0.179
Event catering services,Postgraduate,169,0.001
Event catering services,Bachelor,2902,0.024
Event catering services,Diploma,7490,0.063
Event catering services,STPM,6291,0.053
Event catering services,Certificate,10031,0.084
Event catering services,SPM,73533,0.614
Event catering services,Below SPM,19406,0.162
Bevarage catering services,Postgraduate,253,0.001
Bevarage catering services,Bachelor,4113,0.024
Bevarage catering services,Diploma,7697,0.063
Bevarage catering services,STPM,5330,0.053
Bevarage catering services,Certificate,9488,0.084
Bevarage catering services,SPM,55177,0.614
Bevarage catering services,Below SPM,17685,0.162
