Company,Year,Rank,Country,Revenue,img
Nestlé,2024,1,Switzerland,20769M,https://mms.img.susercontent.com/415abf0539d9f5221386c706844ca0b1
Lay's,2024,2,United States,12021M,https://upload.wikimedia.org/wikipedia/commons/6/67/Lay%27s_logo_2019.svg
Yili,2024,3,China,11606M,https://pic.pngsucai.com/01/07/70/76730cc3b80179b6.webp
Tyson,2024,4,United States,8266M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIXwlS6z7ROQFYoZjq438JPTJ8gv1w-obTaw&s
Danone,2024,5,France,8026M,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/DANONE_LOGO_VERTICAL.png/464px-DANONE_LOGO_VERTICAL.png
Nestlé,2023,1,Switzerland,22427M,https://mms.img.susercontent.com/415abf0539d9f5221386c706844ca0b1
Lay's,2023,3,United States,11056M,https://upload.wikimedia.org/wikipedia/commons/6/67/Lay%27s_logo_2019.svg
Yili,2023,2,China,12405M,https://pic.pngsucai.com/01/07/70/76730cc3b80179b6.webp
Tyson,2023,5,United States,8722M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIXwlS6z7ROQFYoZjq438JPTJ8gv1w-obTaw&s
Danone,2023,4,France,8942M,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/DANONE_LOGO_VERTICAL.png/464px-DANONE_LOGO_VERTICAL.png
Nestlé,2022,1,Switzerland,20819M,https://mms.img.susercontent.com/415abf0539d9f5221386c706844ca0b1
Yili,2022,2,China,10594M,https://pic.pngsucai.com/01/07/70/76730cc3b80179b6.webp
Lay's,2022,3,United States,8557M,https://upload.wikimedia.org/wikipedia/commons/6/67/Lay%27s_logo_2019.svg
Danone,2022,4,France,7860M,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/DANONE_LOGO_VERTICAL.png/464px-DANONE_LOGO_VERTICAL.png
Tyson,2022,5,United States,7238M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIXwlS6z7ROQFYoZjq438JPTJ8gv1w-obTaw&s
Nestlé,2021,1,Switzerland,19428M,https://mms.img.susercontent.com/415abf0539d9f5221386c706844ca0b1
Yili,2021,2,China,9591M,https://pic.pngsucai.com/01/07/70/76730cc3b80179b6.webp
Danone,2021,3,France,8206M,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/DANONE_LOGO_VERTICAL.png/464px-DANONE_LOGO_VERTICAL.png
Tyson,2021,6,United States,6322M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIXwlS6z7ROQFYoZjq438JPTJ8gv1w-obTaw&s
Lay's,2021,5,United States,6553M,https://upload.wikimedia.org/wikipedia/commons/6/67/Lay%27s_logo_2019.svg
Nestlé,2020,1,Switzerland,20309M,https://mms.img.susercontent.com/415abf0539d9f5221386c706844ca0b1
Yili,2020,2,China,8644M,https://pic.pngsucai.com/01/07/70/76730cc3b80179b6.webp
Tyson,2020,3,United States,8417M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIXwlS6z7ROQFYoZjq438JPTJ8gv1w-obTaw&s
Danone,2020,4,France,7825M,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/DANONE_LOGO_VERTICAL.png/464px-DANONE_LOGO_VERTICAL.png
Lays,2020,6,United States,5378M,https://upload.wikimedia.org/wikipedia/commons/6/67/Lay%27s_logo_2019.svg
Kellogg's,2020,5,United States,6789M,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kellogg%27s-Logo.svg/2560px-Kellogg%27s-Logo.svg.png
Kellogg's,2021,4,United States,6675M,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Kellogg%27s-Logo.svg/2560px-Kellogg%27s-Logo.svg.png
