State,saleries_wages_2022,saleries_wages_2015,CAGR
Johor,1655918,882006,9.42
Kedah,453314,296940,6.23
Kelantan,258966,155782,7.53
Melaka,327360,202196,7.13
Negeri Sembilan,400239,255284,6.63
Pahang,525234,293869,8.65
Pulau Pinang,1066201,531905,10.44
Perak,822681,513357,6.97
Perlis,74049,44541,7.53
Selangor,4828556,3348320,5.37
Terengganu,312127,173089,8.79
Sabah,680624,401189,7.84
Sarawak,770912,486401,6.8
WP K Lumpur,3195609,1999249,6.93
WP Labuan,44661,27883,6.96
WP Putrajaya,52592,39141,4.31
