State,value_of_fixed_assets_2022,value_of_fixed_assets_2015,CAGR
Johor,603258,798391,-3.92
Kedah,225503,235787,-0.64
Kelantan,112655,178509,-6.36
Melaka,175413,316590,-8.09
Negeri Sembilan,81309,188942,-11.35
Pahang,186973,663974,-16.56
Pulau Pinang,417184,522025,-3.15
Perak,231882,415043,-7.98
Perlis,38440,33562,1.96
Selangor,9149406,2980340,17.38
Terengganu,88973,98737,-1.48
Sabah,160744,592137,-17.0
Sarawak,271044,364517,-4.14
WP K Lumpur,835745,2063224,-12.11
WP Labuan,8088,47389,-22.32
WP Putrajaya,18317,34365,-8.6
